aa Afar
ab Abkhazian
af Afrikaans
am Amharic
ar Arabic
as Assamese
ay Aymara
az Azerbaijani
ba Bashkir
be Belarussian
bn Bengali
bh Bihari
bi Bislama
bo Tibetan
br Breton
bg Bulgarian
ca Catalan
cs Czech
kw Cornish
co Corsican
cy Welsh
da Danish
de German
dz Dzongkha
en English
eo Esperanto
et Estonian
eu Basque
fo Faroese
fa Persian
fj Fijian
fi Finnish
fr French
fy Frisian
ga Irish
gl Gallegan
gn Guarani
gu Gujarati
ha Hausa
hi Hindi
hr Croatian
hu Hungarian
hy Armenian
iu Inuktitut
ie Interlingue
ik Inupiak
is Icelandic
it Italian
jw Javanese
ja Japanese
kl Kalaallisut
kn Kannada
ks Kashmiri
ka Georgian
kk Kazakh
km Khmer
rw Kinyarwanda
ky Kirghiz
ko Korean
ku Kurdish
lo Lao
la Latin
lv Latvian
ln Lingala
lt Lithuanian
lb LÌtzeburgesch
ml Malayalam
mr Marathi
mk Macedonian
mg Malagasy
mt Maltese
mo Moldavian
mn Mongolian
mi Maori
ms Malay
my Burmese
na Nauru
ne Nepali
nl Dutch
no Norwegian
om Oromo
pa Panjabi
pl Polish
pt Portuguese
ps Pushto
qu Quechua
rm Rhaeto-Romance
ro Romanian
rn Rundi
ru Russian
sg Sango
sa Sanskrit
si Sinhalese
sk Slovak
sl Slovenian
sm Samoan
sn Shona
sd Sindhi
so Somali
es Spanish
sq Albanian
sr Serbian
ss Swati
su Sundanese
sw Swahili
sv Swedish
ta Tamil
tt Tatar
te Telugu
tg Tajik
tl Tagalog
th Thai
ts Tswana
tk Turkmen
tw Twi
ug Uighur
uk Ukrainian
ur Urdu
uz Uzbek
vi Vietnamese
vo Volapuk
wo Wolof
xh Xhosa
za Zhuang
zh Chinese
zu Zulu
